Brand,Model
Tata-cars,Ace
Tata-cars,Grande-dicor
Tata-cars,Magic
Tata-cars,Vista-tech
Mahindra-cars,Bolero-pick-up
Mahindra-cars,Imperio
Mahindra-cars,Maxximo
Mahindra-cars,Reva
Mahindra-cars,Tuv300-plus
Mahindra-cars,Verito-vibe-cs
Honda-cars,City-5th-generation
Honda-cars,Civic-hybrid
Chevrolet-cars,Sail-u-va
Arash-cars,Af-10
Ashok-cars,Stile
Aston-martin-cars,Rapide-s
Aston-martin-cars,V12-vantage
Audi-cars,Rs-7-sportback
Bajaj-cars,Qute-re60
Bentley-cars,Continental-flying-spur
Bentley-cars,Continental-gt
Bentley-cars,Continental-gtc
Brabus-cars,Ml63
Chrysler-cars,300c-srt
Ferrari-cars,599-gtb
Ferrari-cars,F142
Fiat-cars,Grand-punto
Force-cars,Matador
Hm-cars,Ambassador
Jaguar-cars,X-type
Lexus-cars,Lc
Mahindra-cars,Rexton
Mercedes-benz-cars,Amg
Mercedes-benz-cars,Gt-4-door-coupe
Mitsubishi-cars,Lancer-evolution
Porsche-cars,918-spyder
Premier-cars,Rio-plus
Rolls-royce-cars,Phantom-coupe
Rolls-royce-cars,Phantom-series-ii
